time,amps,volt
1586373656.143, 2.744035E-01, 1.107193E-01
1586373666.142, 2.828177E-01, 1.141083E-01
1586373676.094, 2.829331E-01, 1.140900E-01
1586373686.092, 2.730476E-01, 1.102614E-01
1586373696.092, 2.711147E-01, 1.094736E-01
1586373706.092, 2.854092E-01, 1.148045E-01
1586373716.092, 2.899625E-01, 1.165081E-01
1586373726.095, 2.715090E-01, 1.096019E-01
1586373736.092, 2.724418E-01, 1.100232E-01
1586373746.091, 2.886403E-01, 1.160501E-01
1586373756.093, 2.819666E-01, 1.135588E-01
1586373766.093, 2.744708E-01, 1.108109E-01
1586373776.094, 2.750622E-01, 1.109575E-01
1586373786.092, 2.792356E-01, 1.125146E-01
1586373796.093, 2.841303E-01, 1.143465E-01
1586373806.093, 2.752161E-01, 1.110674E-01
1586373816.144, 2.716821E-01, 1.099683E-01
1586373826.092, 2.798318E-01, 1.130458E-01
1586373836.144, 2.813368E-01, 1.135954E-01
1586373846.143, 2.742929E-01, 1.109208E-01
1586373856.142, 2.772210E-01, 1.120200E-01
1586373866.142, 2.853275E-01, 1.150426E-01
1586373876.143, 2.829908E-01, 1.141816E-01
1586373886.142, 2.747545E-01, 1.111223E-01
1586373896.144, 2.718456E-01, 1.100049E-01
1586373906.143, 2.843370E-01, 1.146945E-01
1586373916.143, 2.872075E-01, 1.157570E-01
1586373926.143, 2.748458E-01, 1.111407E-01
1586373936.142, 2.742785E-01, 1.109208E-01
1586373946.091, 2.830917E-01, 1.142366E-01
1586373956.142, 2.800722E-01, 1.131008E-01
1586373966.143, 2.824763E-01, 1.139984E-01
1586373976.142, 2.819859E-01, 1.137603E-01
1586373986.143, 2.778509E-01, 1.122032E-01
1586373996.142, 2.787644E-01, 1.125695E-01
1586374006.143, 2.757738E-01, 1.115070E-01
1586374016.142, 2.720283E-01, 1.105545E-01
1586374026.142, 2.844284E-01, 1.156838E-01
1586374036.143, 2.845438E-01, 1.148777E-01
1586374046.142, 2.727880E-01, 1.103713E-01
1586374056.143, 2.755382E-01, 1.114154E-01
1586374066.143, 2.847602E-01, 1.148960E-01
1586374076.144, 2.810002E-01, 1.134489E-01
1586374086.145, 2.758219E-01, 1.115070E-01
1586374096.144, 2.741535E-01, 1.108842E-01
1586374106.142, 2.822167E-01, 1.138885E-01
1586374116.142, 2.851544E-01, 1.149144E-01
1586374126.142, 2.733072E-01, 1.105178E-01
1586374136.142, 2.732688E-01, 1.105362E-01
1586374146.142, 2.873373E-01, 1.157570E-01
1586374156.143, 2.835725E-01, 1.143465E-01
1586374166.143, 2.732928E-01, 1.105545E-01
1586374176.144, 2.780480E-01, 1.124413E-01
1586374186.142, 2.834524E-01, 1.143098E-01
1586374196.143, 2.843755E-01, 1.146579E-01
1586374206.144, 2.762017E-01, 1.115986E-01
1586374216.142, 2.731630E-01, 1.104629E-01
1586374226.142, 2.871209E-01, 1.157204E-01
1586374236.143, 3.126808E-01, 1.253195E-01
1586374246.142, 2.725668E-01, 1.102980E-01
1586374256.143, 2.764181E-01, 1.116902E-01
1586374266.142, 2.853371E-01, 1.150060E-01
1586374276.143, 2.806156E-01, 1.132840E-01
1586374286.143, 2.763892E-01, 1.117269E-01
1586374296.142, 2.784904E-01, 1.125146E-01
1586374306.142, 2.827311E-01, 1.140534E-01
1586374316.142, 2.864526E-01, 1.154273E-01
1586374326.143, 2.749035E-01, 1.111590E-01
1586374336.142, 2.737400E-01, 1.107193E-01
1586374346.145, 2.878710E-01, 1.160135E-01
1586374356.142, 2.823417E-01, 1.138336E-01
1586374366.143, 2.739900E-01, 1.108109E-01
1586374376.142, 2.810868E-01, 1.134305E-01
1586374386.142, 2.846159E-01, 1.147861E-01
1586374396.144, 2.829138E-01, 1.150243E-01
1586374406.142, 2.772835E-01, 1.145114E-01
1586374416.142, 2.881306E-01, 1.165997E-01
1586374426.143, 2.976892E-01, 1.197872E-01
1586374436.142, 2.937946E-01, 1.182667E-01
1586374446.142, 2.732495E-01, 1.105178E-01
1586374456.142, 2.770431E-01, 1.119101E-01
1586374466.144, 2.849765E-01, 1.149876E-01
1586374476.142, 2.858612E-01, 1.166730E-01
1586374486.142, 2.774903E-01, 1.124963E-01
1586374496.142, 2.773412E-01, 1.121849E-01
1586374506.142, 2.812743E-01, 1.135038E-01
1586374516.143, 2.846880E-01, 1.149876E-01
1586374526.142, 2.771297E-01, 1.119284E-01
1586374536.142, 2.743265E-01, 1.109025E-01
1586374546.144, 2.871594E-01, 1.157387E-01
1586374556.142, 2.844813E-01, 1.147129E-01
1586374566.144, 2.741438E-01, 1.108476E-01
1586374576.142, 2.790241E-01, 1.126978E-01
1586374586.143, 2.820051E-01, 1.137786E-01
1586374596.142, 2.835725E-01, 1.144198E-01
1586374606.143, 2.789279E-01, 1.126428E-01
1586374616.142, 2.779855E-01, 1.122948E-01
1586374626.141, 2.817359E-01, 1.136870E-01
1586374636.144, 2.866305E-01, 1.154823E-01
1586374646.142, 2.770480E-01, 1.119467E-01
1586374656.142, 2.803223E-01, 1.131741E-01
1586374666.142, 2.862410E-01, 1.153540E-01
1586374676.143, 2.828225E-01, 1.140900E-01
1586374686.142, 2.782307E-01, 1.124047E-01
1586374696.142, 2.832312E-01, 1.141816E-01
1586374706.144, 2.866546E-01, 1.155189E-01
1586374716.142, 2.865920E-01, 1.155006E-01
1586374726.143, 2.775240E-01, 1.120749E-01
1586374736.142, 2.742641E-01, 1.108842E-01
1586374746.142, 2.861256E-01, 1.153174E-01
1586374756.144, 2.884432E-01, 1.162333E-01
1586374766.144, 2.746679E-01, 1.112140E-01
1586374776.142, 2.775624E-01, 1.121116E-01
1586374786.142, 2.822359E-01, 1.138336E-01
1586374796.144, 2.820051E-01, 1.137786E-01
1586374806.143, 2.776105E-01, 1.121482E-01
1586374816.142, 2.744852E-01, 1.109941E-01
1586374826.141, 2.818993E-01, 1.137420E-01
1586374836.142, 2.852890E-01, 1.149876E-01
1586374846.143, 2.746198E-01, 1.110308E-01
1586374856.143, 2.740910E-01, 1.107926E-01
1586374866.144, 2.841062E-01, 1.147678E-01
1586374876.142, 2.826638E-01, 1.141083E-01
1586374886.142, 2.752738E-01, 1.112506E-01
1586374896.142, 2.789568E-01, 1.125879E-01
1586374906.142, 2.826205E-01, 1.139618E-01
1586374916.094, 2.832167E-01, 1.141816E-01
1586374926.092, 2.779663E-01, 1.122215E-01
1586374936.093, 2.780913E-01, 1.122581E-01
1586374946.092, 2.862603E-01, 1.153174E-01
1586374956.091, 2.875585E-01, 1.160135E-01
1586374966.092, 2.797549E-01, 1.129542E-01
1586374976.092, 2.833370E-01, 1.141999E-01
1586374986.094, 2.848852E-01, 1.148228E-01
1586374996.092, 2.844813E-01, 1.147129E-01
1586375006.094, 2.832456E-01, 1.141816E-01
1586375016.093, 2.823946E-01, 1.139068E-01
1586375026.092, 2.808031E-01, 1.132657E-01
1586375036.092, 2.889047E-01, 1.165264E-01
1586375046.092, 2.819955E-01, 1.137053E-01
1586375056.092, 2.778076E-01, 1.121482E-01
1586375066.093, 2.813945E-01, 1.135221E-01
1586375076.144, 2.792405E-01, 1.126795E-01
1586375086.142, 2.796106E-01, 1.128627E-01
